Week,Median_Activation_Hours,Center_Line,UCL,LCL,SPC_Signal
2026-09-07,2.296353846192325,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-09-14,2.357222079490186,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-09-21,2.2468820074216804,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-09-28,2.321839262319904,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-10-05,2.199431519865127,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-10-12,2.3498585461497563,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-10-19,2.508292726933459,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-10-26,2.1617391093254366,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-11-02,2.3608425654867036,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-11-09,2.4230046751417715,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-11-16,2.23255768336718,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-11-23,2.267277933624354,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-11-30,2.3993010168924567,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-12-07,2.1962271714029202,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-12-14,2.417177982811946,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-12-21,2.382704330195363,2.348123167928474,2.713311982058992,1.982934353797956,False
2026-12-28,2.1800736598478117,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-01-04,3.036224767028468,2.348123167928474,2.713311982058992,1.982934353797956,True
2027-01-11,2.380762594759854,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-01-18,2.3503715408384704,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-01-25,2.4121410685780926,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-02-01,2.3264266886242493,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-02-08,2.3656062204623596,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-02-15,2.384299540838908,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-02-22,2.4614798689458164,2.348123167928474,2.713311982058992,1.982934353797956,False
2027-03-01,2.3462876938794937,2.348123167928474,2.713311982058992,1.982934353797956,False
